PeriodoMuestra;uwindM;vwindM
1041997;0.27536745;0.52868571
1051997;-0.46528173;0.26628614
1061997;-10.425.621;-0.007015421
1071997;-0.56431309;0.21027248
1081997;-0.77840528;0.28621046
1091997;0.25911841;0.49334824
1101997;0.73934365;0.39071918
1111997;10.267.761;0.63695373
1121997;11.679.672;0.7519885
1011998;13.879.881;0.8403322
1021998;10.228.237;0.58018821
1031998;0.7268275;0.59823288
1041998;0.20773628;0.43583085
1051998;-0.42707451;0.18658885
1061998;-0.63106594;0.14711613
1071998;-0.22681597;0.23320425
1081998;0.14581423;0.43056782
1091998;0.28480947;0.53921177
1101998;0.81070772;0.65650213
1111998;13.824.985;0.77116096
1121998;13.693.236;0.74597361
1011999;13.761.307;0.63056291
1021999;13.148.674;0.62116465
1031999;0.95848622;0.5628954
1041999;0.034486294;0.42568072
1051999;-0.19080456;0.31064595
1061999;-0.62930928;0.14335683
1071999;-0.44595854;0.20162607
1081999;-0.11636636;0.34222413
1091999;0.089601309;0.35989287
1101999;10.878.199;0.60988673
1111999;10.656.421;0.66740411
1121999;12.656.811;0.72642522
1012000;15.443.303;0.81740043
1022000;1.370.202;0.7065009
1032000;0.92928185;0.66514853
1042000;0.52305565;0.42004176
1052000;-0.20419905;0.29861617
1062000;-0.79926554;-0.072051418
1072000;-0.68156973;0.29673652
1082000;-0.26985399;0.36515589
1092000;0.038877929;0.38094498
1102000;0.7123351;0.62078872
1112000;0.87438642;0.6696597
1122000;11.609.406;0.75875525
1012001;13.473.655;0.7200344
1022001;1.340.778;0.60199219
1032001;0.81949099;0.53357281
1042001;0.31423342;0.39071918
1052001;-0.33001938;0.23959507
1062001;-0.46308591;0.20125014
1072001;-0.70374749;0.27643627
1082001;-0.23581882;0.24523403
1092001;0.52283607;0.44598098
1102001;0.81466019;0.60011253
1112001;12.687.552;0.73958279
1122001;12.509.691;0.69522298
1012002;11.998.065;0.69635077
1022002;12.351.592;0.60988673
1032002;0.92796436;0.60236812
1042002;0.40887315;0.50161871
1052002;-0.55596898;0.21779109
1062002;-0.72394901;0.16252929
1072002;-0.84340147;0.080200483
1082002;-0.58736917;0.30312734
1092002;0.17765358;0.5260542
1102002;0.93806512;0.64372048
1112002;12.663.398;0.7888297
1122002;13.699.824;0.73431976
1012003;12.696.335;0.77980737
1022003;11.670.889;0.68131355
1032003;0.89217254;0.54071549
1042003;0.28744445;0.46816088
1052003;-0.46550131;0.22869308
1062003;-0.66290529;0.11666575
1072003;-0.68354597;0.23658762
1082003;-0.22110684;0.40011744
1092003;0.38427999;0.54823411
1102003;0.85089117;0.74935699
1112003;10.278.741;0.7151473
1122003;1.276.221;0.91175902
1012004;15.243.483;0.72905674
1022004;13.412.172;0.67191528
1032004;0.82300429;0.55838423
1042004;0.28788361;0.47755915
1052004;-0.48109161;0.18734071
1062004;-0.69452506;0.20388166
1072004;-0.46484256;0.2117762
1082004;-0.36668953;0.19561118
1092004;0.38625623;0.55500086
1102004;0.79665449;0.69447112
1112004;10.691.554;0.69108774
