agno;mes;dia;valor
2019;9;1;29,4
2019;10;1;32,6
2019;11;1;35,2
2019;12;1;37,1
2020;1;1;35,3
2020;2;1;35,3
2020;3;1;35,5
2020;4;1;34,5
2020;5;1;29,7
2020;6;1;23,1
2020;7;1;23,3
2020;8;1;24,6
2020;9;1;28,1
2020;10;1;31,8
2020;11;1;33,5
2020;12;1;33,8
2021;1;1;34,3
2021;2;1;33,8
2021;3;1;34,3
2021;4;1;31,8
2021;5;1;27,2
2021;6;1;24,7
